Player,Nation,Squad,Pos,Age,Playing Time Min,Playing Time MP,Playing Time Starts,Performance Gls,Performance Ast,Performance CrdY,Performance CrdR,Expected xG,Expected xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes xG,Per 90 Minutes xAG,Performance GA90,Performance Save%,Performance CS%,Penalty Kicks Save%,Standard SoT%,Standard SoT/90,Standard G/Sh,Standard Dist,Total Cmp,Total Cmp%,Total TotDist,Short Cmp,Medium Cmp,Long Cmp,KP,Passing 1/3,PPA,CrsPA,PrgP,SCA,SCA SCA90,GCA,GCA GCA90,Tackles Tkl,Tackles TklW,Challenges Att,Challenges Lost,Blocks,Blocks Sh,Blocks Pass,Int,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Take-Ons Att,Take-Ons Succ%,Take-Ons Tkld%,Carries,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
Aaron Cresswell,eng ENG,West Ham,DF,35-133,589.0,14,7,0,0,2,0,0.1,1.1,4,24,2,0.00,0.00,0.02,0.17,N/a,N/a,N/a,N/a,0.0,0.00,0.00,29.8,355,80.7,6769,157,152,45,7,40,4,1,24,12,1.83,0,0.00,8,4,8,2,7,4,3,6,495,33,196,236,68,1,1,100.0,0.0,200,388,4,7,0,3,0,312,2,3,1,0,27,21,7,6,53.8
Aaron Ramsdale,eng ENG,Southampton,GK,26-348,2340.0,26,26,0,0,2,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,2.31,67.5,7.7,28.6,N/a,0.00,N/a,N/a,691,64.4,19407,196,260,229,0,32,1,0,0,3,0.12,0,0.00,0,0,2,2,0,0,0,2,1154,835,1132,25,0,0,0,N/a,N/a,701,2092,0,0,0,2,0,628,0,1,4,0,0,19,5,0,100.0
Aaron Wan-Bissaka,eng ENG,West Ham,DF,27-152,2794.0,32,31,2,2,1,0,1.2,2.9,98,125,139,0.06,0.06,0.04,0.09,N/a,N/a,N/a,N/a,33.3,0.16,0.13,15.3,1277,81.1,18273,812,401,46,29,89,30,11,125,83,2.67,7,0.23,61,43,26,7,31,9,22,59,1960,136,620,838,531,40,101,53.5,34.7,933,3303,98,57,12,28,21,1135,139,22,24,4,64,155,22,29,43.1
Abdoulaye Doucouré,ml MLI,Everton,MF,32-116,2425.0,30,29,3,1,5,1,3.9,2.3,40,78,91,0.11,0.04,0.14,0.09,N/a,N/a,N/a,N/a,31.0,0.33,0.10,13.8,676,79.6,10229,354,250,40,26,44,14,0,78,54,2.00,2,0.07,45,27,39,26,30,6,24,9,1090,31,218,502,385,59,43,53.5,46.5,571,1339,40,24,8,33,35,705,91,46,5,10,23,139,29,43,40.3
Abdukodir Khusanov,uz UZB,Manchester City,DF,21-057,503.0,6,6,0,0,1,0,0.0,0.1,1,25,2,0.00,0.00,0.00,0.02,N/a,N/a,N/a,N/a,0.0,0.00,0.00,23.9,360,91.1,6126,160,191,6,2,23,0,0,25,5,0.89,0,0.00,5,4,3,1,5,4,1,3,445,45,205,211,31,1,2,0.0,100.0,274,435,1,1,0,2,1,332,2,3,3,0,1,27,6,4,60.0
Abdul Fatawu Issahaku,gh GHA,Leicester City,FW,21-050,579.0,11,6,0,2,0,0,0.4,1.6,42,17,60,0.00,0.31,0.06,0.24,N/a,N/a,N/a,N/a,38.5,0.78,0.00,31.2,123,62.4,2150,59,45,16,6,7,7,2,17,17,2.64,3,0.47,21,15,19,8,7,0,7,4,326,19,73,114,157,26,69,42.0,40.6,217,1055,42,24,15,18,12,216,60,11,20,2,30,38,14,13,51.9
Adam Armstrong,eng ENG,Southampton,"FW,MF",28-076,1248.0,20,15,2,2,4,0,3.3,1.2,25,21,79,0.14,0.14,0.24,0.09,N/a,N/a,N/a,N/a,28.0,0.50,0.08,16.6,231,80.2,3320,138,81,6,9,10,8,2,21,19,1.37,4,0.29,12,3,14,11,6,1,5,3,377,11,44,143,192,49,14,42.9,57.1,235,599,25,13,6,11,18,286,79,12,5,9,14,23,5,9,35.7
Adam Lallana,eng ENG,Southampton,MF,36-352,361.0,14,5,0,2,4,0,0.2,0.9,6,24,10,0.00,0.50,0.04,0.23,N/a,N/a,N/a,N/a,0.0,0.00,0.00,18.1,221,85.0,2891,147,61,4,4,21,9,3,24,9,2.24,2,0.50,8,5,12,10,4,1,3,5,318,19,91,155,73,6,12,41.7,41.7,178,366,6,8,0,10,6,245,10,8,8,0,4,19,2,2,50.0
Adam Smith,eng ENG,Bournemouth,DF,33-363,1319.0,21,16,0,0,5,0,0.7,0.2,12,39,31,0.00,0.00,0.04,0.02,N/a,N/a,N/a,N/a,0.0,0.00,0.00,16.9,415,75.7,6761,200,178,24,6,39,6,3,39,17,1.16,1,0.07,20,10,23,12,10,3,7,14,671,34,205,316,154,6,15,40.0,40.0,293,577,12,15,0,10,6,320,31,13,10,0,28,40,12,12,50.0
Adam Webster,eng ENG,Brighton,DF,30-113,617.0,11,8,0,0,0,0,0.0,0.5,7,40,2,0.00,0.00,0.00,0.07,N/a,N/a,N/a,N/a,100.0,0.15,0.00,15.3,429,85.6,7934,169,213,40,3,32,2,0,40,10,1.46,3,0.44,8,5,11,6,12,9,3,14,569,84,279,271,22,8,3,33.3,66.7,326,1142,7,2,0,3,1,384,2,5,2,1,1,20,17,4,81.0
